city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Sursee,Sursee,47.1667,8.1167,Switzerland,CH,CHE,Luzern,minor,9900,1756349177
Therwil,Therwil,47.5,7.55,Switzerland,CH,CHE,Basel-Landschaft,,9867,1756897872
Hochdorf,Hochdorf,47.1667,8.2833,Switzerland,CH,CHE,Luzern,,9844,1756537486
Urdorf,Urdorf,47.3833,8.4333,Switzerland,CH,CHE,Zürich,,9768,1756382154
Wald,Wald,47.2833,8.9167,Switzerland,CH,CHE,Zürich,,9758,1756156476
Estavayer-le-Lac,Estavayer-le-Lac,46.85,6.8472,Switzerland,CH,CHE,Fribourg,,9712,1756917471
Wittenbach,Wittenbach,47.4667,9.3667,Switzerland,CH,CHE,Sankt Gallen,,9691,1756489674
Widnau,Widnau,47.4,9.6333,Switzerland,CH,CHE,Sankt Gallen,,9616,1756016282
Epalinges,Epalinges,46.55,6.6667,Switzerland,CH,CHE,Vaud,,9611,1756549876
Eschenbach,Eschenbach,47.2333,8.9167,Switzerland,CH,CHE,Sankt Gallen,,9602,1756626480
Rorschach,Rorschach,47.4667,9.5,Switzerland,CH,CHE,Sankt Gallen,minor,9439,1756630924
Embrach,Embrach,47.5104,8.5938,Switzerland,CH,CHE,Zürich,,9419,1756762127
Altdorf,Altdorf,46.8667,8.6333,Switzerland,CH,CHE,Uri,admin,9401,1756957308
Langnau,Langnau,46.95,7.7833,Switzerland,CH,CHE,Bern,minor,9366,1756946550
Goldach,Goldach,47.4833,9.4667,Switzerland,CH,CHE,Sankt Gallen,,9269,1756725037
Niederhasli,Niederhasli,47.4833,8.4833,Switzerland,CH,CHE,Zürich,,9264,1756015493
Schübelbach,Schubelbach,47.1667,8.9333,Switzerland,CH,CHE,Schwyz,,9249,1756445670
Mels,Mels,47.05,9.4167,Switzerland,CH,CHE,Sankt Gallen,,9242,1756869318
Arlesheim,Arlesheim,47.4833,7.6167,Switzerland,CH,CHE,Basel-Landschaft,,9202,1756790806
Rothrist,Rothrist,47.3,7.8833,Switzerland,CH,CHE,Aargau,,9121,1756245430
Kirchberg,Kirchberg,47.4,9.0333,Switzerland,CH,CHE,Sankt Gallen,,9072,1756912325
Aadorf,Aadorf,47.5,8.9,Switzerland,CH,CHE,Thurgau,,9036,1756022542
Ingenbohl,Ingenbohl,46.9833,8.6,Switzerland,CH,CHE,Schwyz,,8912,1756840092
Oberriet,Oberriet,47.3167,9.5667,Switzerland,CH,CHE,Sankt Gallen,,8878,1756217595
Zuchwil,Zuchwil,47.2,7.5667,Switzerland,CH,CHE,Solothurn,,8875,1756623180
Unterägeri,Unterageri,47.1333,8.5833,Switzerland,CH,CHE,Zug,,8867,1756124106
Kilchberg,Kilchberg,47.3167,8.55,Switzerland,CH,CHE,Zürich,,8851,1756715308
Landquart,Landquart,46.9688,9.5503,Switzerland,CH,CHE,Graubünden,,8849,1756905419
Neuenhof,Neuenhof,47.45,8.3167,Switzerland,CH,CHE,Aargau,,8824,1756512493
Hünenberg,Hunenberg,47.1833,8.4333,Switzerland,CH,CHE,Zug,,8807,1756393402
Fully,Fully,46.1333,7.1167,Switzerland,CH,CHE,Valais,,8759,1756803962
Hombrechtikon,Hombrechtikon,47.25,8.7667,Switzerland,CH,CHE,Zürich,,8756,1756295495
Lachen,Lachen,47.1833,8.85,Switzerland,CH,CHE,Schwyz,minor,8754,1756890037
Wattwil,Wattwil,47.3,9.0833,Switzerland,CH,CHE,Sankt Gallen,,8736,1756957329
Bussy,Bussy,46.55,6.55,Switzerland,CH,CHE,Vaud,,8736,1756000766
Conthey,Conthey,46.2167,7.3,Switzerland,CH,CHE,Valais,,8691,1756401433
Bremgarten,Bremgarten,47.35,8.3333,Switzerland,CH,CHE,Aargau,minor,8613,1756590715
Egg,Egg,47.3,8.6903,Switzerland,CH,CHE,Zürich,,8596,1756058713
Egg,Egg,47.3019,8.6906,Switzerland,CH,CHE,Zürich,,8596,1756020746
Fällanden,Fallanden,47.3667,8.6333,Switzerland,CH,CHE,Zürich,,8575,1756176388
Biberist,Biberist,47.1833,7.5667,Switzerland,CH,CHE,Solothurn,,8567,1756746716
Obersiggenthal,Obersiggenthal,47.4833,8.3,Switzerland,CH,CHE,Aargau,,8565,1756136415
Le Mont-sur-Lausanne,Le Mont-sur-Lausanne,46.5217,6.6269,Switzerland,CH,CHE,Vaud,,8523,1756684739
Stans,Stans,46.95,8.35,Switzerland,CH,CHE,Nidwalden,admin,8393,1756019042
Glarus,Glarus,47.0333,9.0667,Switzerland,CH,CHE,Glarus,admin,5996,1756095767
Appenzell,Appenzell,47.3333,9.4167,Switzerland,CH,CHE,Appenzell Innerrhoden,admin,5750,1756770881
